Timestamp,MuscleGroups,EquipmentUsed,WeightLifted,Duration
2024-04-06 10:30:00,"arms, torso","barbell,dumbbell,bands",11280,60
2024-04-11 11:07:32,"arms, torso","dumbbells,kettlebells",9348,60
2024-04-12 10:13:15,"legs, posterior",barbell,13455,30
2024-04-13 19:01:00,"arms, torso","bands,dumbbell",8407,30
2024-04-17 19:53:11,"arms, torso","barbell,dumbbells",9950,60
2024-04-18 15:53:11,"legs, posterior","barbell,dumbbells",11920,60
2024-04-19 12:05:00,"arms, torso","barbell,dumbbells",13210,90
2024-05-03 10:30:00,"arms, torso","bands,barbell",9052,80
2024-05-03 16:28:45,"arms, torso","kettlebells, barbell",7135,30
2024-05-04 15:53:11,"legs, posterior",barbell,5060,30
2024-05-09 18:52:25,"arms, torso","kettlebells, x3-bar, barbell",15341,60 minutes
2024-05-10 19:35:53,"legs, posterior",barbell,7440,30 minutes
2024-05-16 13:02:55,"arms, torso","barbell, bands, bench",12480,60 minutes
2024-05-18 15:23:12,"arms, torso, legs, posterior","barbell, bench, dumbbells",21040,60 minutes
2024-05-25 14:36:08,"arms, torso, legs, posterior","kettlebells, barbell",15780,60 minutes
2024-05-31 20:06:41,"arms, torso","x3-bar, dumbbells, barbell",14989,60 minutes
2024-06-01 19:07:28,"legs, posterior","kettlebells, x3-bar",7920,30 minutes
2024-06-08 14:30:44,"arms, torso, legs, posterior","dumbbells, barbell",9320,60 minutes
2024-06-21 14:48:18,"arms, torso","barbell, kettlebells",7825,60 minutes
2024-07-04 14:14:59,"arms, torso, legs, posterior",dumbbells,6170,30 minutes
2024-07-05 13:23:09,"arms, torso","x3-bar, kettlebells, barbell",13905,60 minutes
2024-08-23 16:07:22,"arms, torso","barbell, dumbbells",7270,30 minutes
2024-09-06 15:30:59,"arms, torso","dumbbells, bands",11026,60 minutes
2024-09-13 15:36:28,"arms, torso","kettlebells, dumbbells",3438,60 minutes
2024-09-21 19:45:24,"arms, torso","barbell, dumbbells",6510,30 minutes
2024-10-05 17:47:48,"arms, torso","barbell, bands, kettlebells",7810,60 minutes
2024-10-26 15:13:13,"arms, torso","barbell, kettlebells",8922,60 minutes
2024-11-01 16:48:03,"arms, torso",dumbbells,5840,60 minutes
2024-11-09 12:58:22,"arms, torso","dumbbells, barbell",7950,60 minutes
2024-11-16 14:15:05,"arms, torso","barbell, x3-bar, bench",11665,60 minutes
2024-11-17 14:02:42,"arms, torso","dumbbells, bands",8910,60 minutes
2024-11-23 15:26:55,"arms, torso","barbell, x3-bar, dumbbells",11240,30 minutes
2024-11-30 12:57:28,"arms, torso","dumbbells, bands, x3-bar, kettlebells",11271,30 minutes
2024-12-07 17:28:20,"arms, torso",balbrd,7184,60 minutes
2025-01-25 17:02:50,"arms, torso, legs, posterior","bands, x3-bar, kettlebells, balbrd",4290,40 minutes
